timestamp_ms,left_brightness,right_brightness
101571,171,169
101588,160,159
101604,151,152
101621,144,142
101637,149,150
101654,147,146
101671,133,138
101687,170,171
101704,171,174
101720,146,148
101737,125,123
101753,159,158
101770,147,126
101787,124,118
101803,164,162
101820,170,173
101837,174,173
101854,174,174
101871,174,174
101887,166,166
101903,174,174
101921,164,170
101937,164,170
101954,157,147
101970,149,143
101987,133,138
102004,130,130
102021,139,160
102038,129,157
102055,125,127
102072,124,138
102089,126,128
102106,125,125
102122,174,174
102139,174,171
102156,174,174
102172,168,166
102189,174,174
102206,174,168
102222,173,173
102238,173,173
102256,157,158
102272,151,141
102288,154,154
102305,167,173
102322,164,161
102338,173,173
102355,174,174
102372,171,165
102389,151,146
102406,140,141
102423,120,103
102440,135,132
102456,120,118
102473,124,130
102489,108,108
102506,117,129
102523,118,116
102539,131,134
102557,131,134
102573,89,89
102589,89,79
102607,80,74
102624,81,80
102641,72,69
102657,167,167
102674,109,109
102690,137,138
102707,133,136
102724,167,167
102741,158,158
102758,153,155
102774,174,173
102790,156,159
102807,156,159
102824,136,151
102841,130,134
102859,117,114
102875,127,124
102892,118,116
102908,106,114
102926,106,114
102942,95,88
102958,80,88
102975,122,101
102992,163,161
103009,157,147
103026,158,151
103043,164,153
103060,134,138
103077,140,142
103093,173,157
103110,130,160
103127,167,173
103144,159,160
103161,159,162
103178,155,160
103196,145,151
103212,168,174
103228,153,158
103244,126,152
103261,141,141
103279,149,144
103295,149,144
103312,154,147
103329,167,169
103347,151,149
103364,161,149
103380,164,174
103397,152,157
103414,162,173
103431,165,173
103447,173,169
103465,142,165
103482,154,123
103498,153,130
103514,174,165
103532,174,165
103548,170,165
103566,160,157
103583,128,138
103599,116,120
103616,114,131
103632,165,168
103649,158,163
103667,158,163
103684,141,131
103701,126,124
103718,122,133
103735,162,164
103751,172,173
103768,162,154
103785,173,172
103802,122,133
103819,141,133
103836,171,170
103852,172,174
103869,173,173
103887,174,174
103904,167,165
103920,174,159
103937,173,172
103954,174,174
103970,156,163
103987,155,154
104004,160,156
104021,142,144
104038,142,144
104054,171,172
104071,168,163
104087,161,151
104105,145,144
104122,130,122
104139,118,107
104157,118,107
104174,148,145
104190,157,174
104207,173,159
104224,161,174
104240,155,155
104257,172,162
104274,174,173
104291,174,169
104308,152,174
104325,153,156
104341,162,154
104358,141,145
104374,174,174
104390,174,174
104407,174,174
104423,169,168
104440,160,162
104457,158,161
104473,166,172
104490,167,171
104507,152,155
104524,132,146
104541,122,122
104558,103,99
104574,99,87
104591,174,174
104609,173,173
104625,167,170
104642,168,171
104658,154,157
104675,163,160
104692,171,158
104708,149,132
104725,120,124
104742,121,91
104758,109,80
104775,108,85
104791,92,83
104808,167,166
104825,161,155
104842,146,144
104859,158,159
104877,153,151
104893,147,150
104910,172,172
104927,124,123
104943,130,128
104960,160,162
104977,161,157
104994,154,153
105013,147,147
105030,146,153
105047,159,157
105064,165,156
105080,157,148
105097,154,149
105113,172,168
105130,159,159
105147,155,155
105164,131,137
105180,119,119
105197,105,114
105213,96,92
105230,143,145
105247,153,159
105264,165,162
105281,166,165
105298,157,157
105315,155,156
105332,173,173
105348,158,157
105365,150,139
105382,160,141
105399,138,138
105416,126,131
105433,120,123
105450,174,162
105467,169,148
105484,164,160
105501,124,142
105518,120,121
105535,122,126
105552,157,150
105569,138,137
105585,129,126
105602,121,122
105619,121,116
105637,121,116
105654,170,170
105671,168,165
105688,171,167
105705,171,163
105721,174,172
105738,171,169
105755,174,174
105772,174,174
105788,164,154
105805,150,147
105822,132,120
105839,114,110
105855,133,132
105871,137,131
105888,78,93
105904,81,59
105921,72,81
105938,68,64
105955,82,69
105971,117,128
105988,86,115
106005,79,88
106023,76,72
106039,72,67
106057,54,83
106074,139,156
106091,156,155
106108,141,152
106124,128,120
106141,106,126
106157,122,118
106174,95,93
106191,174,174
106207,163,166
106223,167,173
106241,167,150
106257,125,124
106273,119,132
106290,149,127
106307,137,159
106324,134,138
106340,152,163
106357,152,163
106374,133,119
106391,169,169
106407,156,174
106424,152,151
106440,171,159
106457,153,146
106473,160,151
106490,143,135
106507,169,141
106523,133,140
106539,136,139
106557,142,135
106574,137,153
106591,130,132
106608,130,132
106625,114,127
106641,80,76
106659,82,62
106675,144,134
106692,86,92
106709,92,93
106727,92,93
106744,163,156
106761,123,118
106777,102,92
106795,149,139
106811,173,158
106827,147,143
106844,120,114
106861,103,100
106878,114,106
106895,102,95
106912,108,92
106929,174,174
106945,166,163
106962,164,165
106979,173,168
106995,164,163
107012,168,165
107030,158,160
107047,173,173
107063,144,148
107080,155,149
107097,155,149
107113,132,135
107130,126,130
107147,130,129
107163,147,149
107180,126,156
107198,129,147
107215,145,120
107231,135,118
107248,129,129
107265,174,172
107281,165,165
107299,166,168
107315,140,141
107332,124,126
107349,130,128
107367,170,169
107384,150,164
107400,160,156
107417,173,173
107434,174,174
107450,173,163
107467,173,163
107483,174,174
107499,174,168
107517,172,169
107533,136,142
107550,136,136
107567,135,132
107584,168,170
107600,162,159
107618,152,146
107634,155,150
107652,164,161
107669,140,145
107686,171,171
107702,151,139
107718,151,146
107735,146,144
107753,125,121
107769,118,119
107786,169,170
107803,174,174
107820,173,174
107837,173,174
107854,140,136
107871,125,118
107887,122,124
107905,172,169
107921,155,159
107937,156,153
107954,140,152
107971,139,128
107988,124,116
108005,167,169
108022,159,151
108038,160,132
108054,145,127
108071,145,122
108088,145,122
108105,140,130
108122,174,152
108139,145,147
108156,155,135
108173,133,122
108189,131,129
108207,131,129
108223,171,168
108240,158,137
108257,154,146
108273,136,135
108290,159,154
108307,148,149
108324,138,146
108341,128,139
108357,157,149
108374,156,164
108391,166,172
108407,171,173
108424,174,173
108441,171,173
108458,163,164
108475,161,165
108492,163,167
108509,164,149
108526,158,149
108543,167,174
108560,149,147
108577,149,147
108594,154,145
108610,142,140
108627,110,121
108643,169,169
108660,161,160
108677,166,163
108693,174,168
108711,174,156
108727,174,168
108744,170,163
108761,174,168
108778,128,144
108795,132,115
108812,106,111
108829,96,104
108845,102,95
108861,89,81
108878,88,88
108894,87,84
108911,90,65
108927,88,80
108945,80,80
108962,166,165
108979,164,171
108995,175,175
109012,174,174
109028,169,170
109045,165,169
109062,156,155
109079,174,174
109096,152,151
109112,128,137
109129,158,160
109146,167,168
109162,159,152
109179,174,174
109195,174,174
109212,174,171
109229,144,148
109246,152,159
109263,137,128
109280,140,140
109297,145,148
109314,138,143
109330,150,138
109347,139,142
109363,107,102
109379,150,142
109397,172,168
109414,150,148
109430,130,126
109447,95,96
109464,113,115
109481,122,123
109497,125,124
109514,114,116
109531,121,122
109548,113,109
109565,112,114
109581,111,114
109599,111,114
109616,169,168
109633,165,163
109650,145,137
109668,125,123
109684,137,119
109700,148,147
109716,144,145
109733,119,127
109750,134,134
109767,155,156
109783,165,166
109799,133,141
109817,141,141
109833,174,174
109850,155,155
109867,152,141
109884,131,136
109900,126,131
109916,138,142
109934,153,144
109951,134,147
109968,123,132
109985,138,125
110001,159,155
110018,117,117
110035,122,126
110052,102,101
110068,57,55
110085,48,53
110102,85,87
110120,63,71
110137,41,51
110153,130,132
110171,113,94
110188,121,74
110205,94,85
110222,93,78
110240,65,63
110257,135,127
110273,79,78
110290,72,67
110307,60,59
110323,61,63
110340,65,78
110357,166,167
110374,165,166
110391,166,167
110407,167,169
110424,166,166
110441,158,158
110457,153,153
110474,172,172
110490,152,146
110507,169,163
110523,173,174
110540,173,174
110557,174,174
110574,171,164
110591,162,164
110608,154,170
110624,162,166
110641,142,135
110658,156,128
110675,140,155
110692,174,174
110709,139,139
110726,148,152
110742,167,172
110758,133,150
110775,149,152
110791,129,138
110807,157,148
110824,154,168
110840,154,169
110856,148,155
110873,123,142
110889,169,170
110907,174,174
110923,167,171
110940,167,157
110957,165,167
110974,168,163
110990,158,166
111007,167,171
111024,156,146
111041,166,155
111058,166,161
111075,149,144
111092,118,143
111108,148,168
111125,154,155
111141,128,135
111157,128,135
111174,143,129
111190,138,125
111206,111,121
111224,174,174
111240,172,174
111257,173,171
111273,167,164
111290,162,157
111307,158,157
111324,171,173
111341,171,174
111358,156,161
111375,156,158
111391,162,165
111408,162,165
111424,146,151
111440,173,174
111456,174,174
111473,169,174
111490,158,158
111507,171,173
111524,167,159
111542,173,174
111559,174,164
111575,161,159
111592,161,143
111610,158,122
111627,163,132
111644,172,169
111660,156,150
111676,153,151
111694,156,155
111711,168,174
111727,160,169
111743,154,159
111760,149,139
111777,149,139
111795,163,162
111812,174,174
111829,166,166
111845,166,166
111862,169,173
111878,173,174
111895,173,174
111912,167,161
111929,166,154
111945,164,163
111961,170,169
111978,161,171
111995,167,174
112012,154,159
112028,158,148
112045,164,156
112062,150,143
112079,161,148
112095,173,162
112112,172,174
112129,169,169
112146,169,169
112162,158,167
112180,171,174
112197,174,174
112213,174,173
112229,172,164
112246,162,161
112262,173,173
112278,174,166
112295,151,159
112311,167,171
112327,174,174
112345,174,174
112362,164,174
112378,149,164
112394,142,149
112412,157,156
112429,138,151
112446,140,141
112462,149,157
112480,137,133
112496,152,141
112513,164,173
112529,167,159
112546,170,162
112563,147,160
112580,167,174
112597,168,166
112614,174,174
112631,174,174
112647,174,174
112664,163,157
112681,156,143
112697,153,141
112714,154,116
112731,130,108
112748,134,112
112765,134,112
112781,118,107
112798,119,104
112814,102,102
112830,126,136
112847,139,123
112864,155,128
112881,158,138
112898,158,138
112914,135,137
112931,132,134
112948,138,136
112965,146,148
112981,132,157
112998,130,149
113016,130,149
113033,170,133
113049,172,171
113065,171,174
113082,150,153
113099,168,165
113116,154,153
113133,155,165
113150,139,150
113166,140,137
113183,138,150
113200,135,138
113217,137,126
113233,150,142
113250,164,174
113266,164,174
113283,165,171
113299,145,148
113317,161,152
113333,164,163
113350,142,145
113366,149,141
113382,154,135
113399,142,145
113415,141,148
113433,151,143
113450,130,132
113466,127,137
113483,117,109
113499,116,104
113516,105,88
113532,95,93
113549,98,103
113565,96,89
113582,121,142
113599,106,109
113615,102,169
113633,169,169
113650,170,129
113666,120,164
113683,172,167
113700,150,142
113717,150,135
113734,169,118
113751,115,129
113768,135,102
113784,170,167
113801,162,157
113818,173,169
113834,169,167
113851,164,163
113867,164,163
113884,155,159
113901,173,173
113917,168,165
113934,139,146
113951,142,143
113967,146,125
113983,127,120
114000,127,132
114016,156,171
114033,133,134
114049,135,151
114066,144,146
114082,136,107
114100,129,146
114117,129,146
114133,168,163
114150,155,146
114166,173,167
114183,133,134
114200,132,137
114216,171,169
114234,156,160
114250,159,157
114266,162,169
114283,171,174
114300,172,171
114317,172,167
114333,174,174
114350,174,174
114367,174,171
114383,147,137
114400,140,139
114417,127,132
114433,171,167
114450,172,168
114466,153,160
114482,158,154
114499,150,156
114516,150,146
114532,151,137
114549,162,156
114565,151,145
114582,130,130
114598,132,130
114616,133,124
114633,129,124
114650,173,174
114667,174,168
114683,161,165
114700,139,139
114717,123,129
114734,120,121
114751,163,169
114767,173,174
114783,164,166
114799,161,168
114816,138,153
114832,137,150
114850,141,142
114867,169,172
114884,145,144
114902,141,145
114919,138,150
114936,136,144
114952,125,128
114969,170,170
114986,171,160
115003,148,140
115020,134,124
115036,144,129
115053,171,168
115069,173,172
115085,160,162
115102,149,155
115119,137,138
115136,146,150
115153,170,166
115170,158,161
115187,173,173
115204,158,158
115221,151,162
115238,153,160
115255,172,173
115272,169,167
115288,170,166
115304,145,160
115321,157,161
115338,158,148
115355,140,146
115372,136,138
115388,172,170
115405,172,171
115421,144,146
115438,160,146
115456,158,150
115472,172,172
115489,157,139
115506,173,169
115523,174,173
115540,174,174
