timestamp_ms,left_brightness,right_brightness
31987,78,79
32003,76,79
32020,80,93
32038,95,108
32054,95,99
32071,174,174
32088,171,167
32105,157,154
32122,147,139
32139,131,122
32156,117,128
32172,121,112
32189,107,119
32206,95,99
32224,98,86
32240,88,66
32256,75,71
32273,78,88
32289,94,94
32305,122,98
32322,107,106
32339,76,89
32357,89,81
32373,125,128
32390,161,152
32406,142,152
32424,139,150
32441,117,122
32457,122,143
32473,122,128
32490,134,125
32507,164,167
32523,159,146
32540,147,147
32557,127,122
32573,140,123
32590,167,169
32607,151,163
32623,154,157
32640,134,148
32658,142,143
32675,155,150
32692,138,127
32709,122,130
32726,128,116
32743,124,126
32760,120,123
32777,124,124
32794,130,118
32810,170,170
32827,170,174
32844,171,174
32861,155,159
32878,159,163
32895,148,150
32911,140,154
32928,152,149
32944,163,159
32961,152,153
32978,172,172
32995,168,168
33011,158,160
33027,164,163
33044,154,154
33061,140,146
33077,139,144
33095,143,140
33112,134,133
33128,164,169
33144,164,169
33162,135,130
33178,131,141
33194,150,151
33212,146,129
33228,112,99
33244,101,101
33261,109,120
33277,115,127
33293,120,118
33311,120,119
33328,115,113
33345,143,154
33362,172,169
33378,143,143
33394,143,143
33411,157,162
33429,181,180
33446,172,168
33464,151,144
33481,147,151
33497,144,145
